timestamp,range_mm_raw
2026-05-24T16:41:32.723,50.0
2026-05-24T16:41:32.827,50.0
2026-05-24T16:41:32.930,50.0
2026-05-24T16:41:33.033,50.0
2026-05-24T16:41:33.137,50.0
2026-05-24T16:41:33.240,50.0
2026-05-24T16:41:33.344,50.0
2026-05-24T16:41:33.447,50.0
2026-05-24T16:41:33.551,50.0
2026-05-24T16:41:33.654,50.0
2026-05-24T16:41:33.776,50.0
2026-05-24T16:41:33.880,50.0
2026-05-24T16:41:33.984,50.0
2026-05-24T16:41:34.087,50.0
2026-05-24T16:41:34.191,50.0
2026-05-24T16:41:34.294,50.0
2026-05-24T16:41:34.398,50.0
2026-05-24T16:41:34.501,50.0
2026-05-24T16:41:34.605,50.0
2026-05-24T16:41:34.708,50.0
2026-05-24T16:41:34.812,50.0
2026-05-24T16:41:34.916,50.0
2026-05-24T16:41:35.019,50.0
2026-05-24T16:41:35.123,50.0
2026-05-24T16:41:35.226,50.0
2026-05-24T16:41:35.346,50.0
2026-05-24T16:41:35.449,50.0
2026-05-24T16:41:35.553,50.0
2026-05-24T16:41:35.656,50.0
2026-05-24T16:41:35.760,50.0
2026-05-24T16:41:35.863,50.0
2026-05-24T16:41:35.967,50.0
2026-05-24T16:41:36.070,50.0
2026-05-24T16:41:36.174,50.0
2026-05-24T16:41:36.278,50.0
2026-05-24T16:41:36.381,50.0
2026-05-24T16:41:36.485,50.0
2026-05-24T16:41:36.588,50.0
2026-05-24T16:41:36.692,50.0
2026-05-24T16:41:36.796,50.0
2026-05-24T16:41:36.916,50.0
2026-05-24T16:41:37.022,50.0
2026-05-24T16:41:37.127,50.0
2026-05-24T16:41:37.230,50.0
2026-05-24T16:41:37.334,50.0
2026-05-24T16:41:37.438,50.0
2026-05-24T16:41:37.541,50.0
2026-05-24T16:41:37.645,50.0
2026-05-24T16:41:37.748,50.0
2026-05-24T16:41:37.852,50.0
2026-05-24T16:41:37.955,50.0
2026-05-24T16:41:38.059,50.0
2026-05-24T16:41:38.162,50.0
2026-05-24T16:41:38.266,50.0
2026-05-24T16:41:38.369,50.0
2026-05-24T16:41:38.487,50.0
2026-05-24T16:41:38.590,50.0
2026-05-24T16:41:38.694,50.0
2026-05-24T16:41:38.797,50.0
2026-05-24T16:41:38.901,50.0
2026-05-24T16:41:39.005,50.0
2026-05-24T16:41:39.108,50.0
2026-05-24T16:41:39.212,50.0
2026-05-24T16:41:39.316,50.0
2026-05-24T16:41:39.420,50.0
2026-05-24T16:41:39.523,50.0
2026-05-24T16:41:39.626,50.0
2026-05-24T16:41:39.730,50.0
2026-05-24T16:41:39.834,50.0
2026-05-24T16:41:39.937,50.0
2026-05-24T16:41:40.057,50.0
2026-05-24T16:41:40.160,50.0
2026-05-24T16:41:40.264,50.0
2026-05-24T16:41:40.367,50.0
2026-05-24T16:41:40.471,50.0
2026-05-24T16:41:40.574,50.0
2026-05-24T16:41:40.678,50.0
2026-05-24T16:41:40.782,50.0
2026-05-24T16:41:40.885,50.0
2026-05-24T16:41:40.989,50.0
2026-05-24T16:41:41.092,50.0
2026-05-24T16:41:41.196,50.0
2026-05-24T16:41:41.299,50.0
2026-05-24T16:41:41.403,50.0
2026-05-24T16:41:41.508,50.0
2026-05-24T16:41:41.627,50.0
2026-05-24T16:41:41.731,50.0
2026-05-24T16:41:41.835,50.0
2026-05-24T16:41:41.938,50.0
2026-05-24T16:41:42.042,50.0
2026-05-24T16:41:42.145,50.0
2026-05-24T16:41:42.249,50.0
2026-05-24T16:41:42.353,50.0
2026-05-24T16:41:42.456,50.0
2026-05-24T16:41:42.560,50.0
2026-05-24T16:41:42.663,50.0
2026-05-24T16:41:42.767,50.0
2026-05-24T16:41:42.870,50.0
2026-05-24T16:41:42.974,50.0
2026-05-24T16:41:43.077,50.0
2026-05-24T16:41:43.197,50.0
2026-05-24T16:41:43.301,50.0
2026-05-24T16:41:43.404,50.0
2026-05-24T16:41:43.508,50.0
2026-05-24T16:41:43.611,50.0
2026-05-24T16:41:43.715,50.0
2026-05-24T16:41:43.819,50.0
2026-05-24T16:41:43.922,50.0
2026-05-24T16:41:44.026,50.0
2026-05-24T16:41:44.129,50.0
2026-05-24T16:41:44.233,50.0
2026-05-24T16:41:44.336,50.0
2026-05-24T16:41:44.440,50.0
2026-05-24T16:41:44.544,50.0
2026-05-24T16:41:44.647,50.0
2026-05-24T16:41:44.767,50.0
2026-05-24T16:41:44.871,50.0
2026-05-24T16:41:44.974,50.0
2026-05-24T16:41:45.078,50.0
2026-05-24T16:41:45.181,50.0
2026-05-24T16:41:45.285,50.0
2026-05-24T16:41:45.388,50.0
2026-05-24T16:41:45.492,50.0
2026-05-24T16:41:45.595,50.0
2026-05-24T16:41:45.699,50.0
2026-05-24T16:41:45.802,50.0
2026-05-24T16:41:45.906,50.0
2026-05-24T16:41:46.009,50.0
2026-05-24T16:41:46.113,50.0
2026-05-24T16:41:46.216,50.0
2026-05-24T16:41:46.338,50.0
2026-05-24T16:41:46.442,50.0
2026-05-24T16:41:46.546,50.0
2026-05-24T16:41:46.649,50.0
2026-05-24T16:41:46.753,50.0
2026-05-24T16:41:46.856,50.0
2026-05-24T16:41:46.960,50.0
2026-05-24T16:41:47.064,50.0
2026-05-24T16:41:47.167,50.0
2026-05-24T16:41:47.270,50.0
2026-05-24T16:41:47.374,50.0
2026-05-24T16:41:47.477,50.0
2026-05-24T16:41:47.581,50.0
2026-05-24T16:41:47.685,50.0
2026-05-24T16:41:47.789,50.0
2026-05-24T16:41:47.909,50.0
2026-05-24T16:41:48.012,50.0
2026-05-24T16:41:48.116,50.0
2026-05-24T16:41:48.219,50.0
2026-05-24T16:41:48.323,50.0
2026-05-24T16:41:48.427,50.0
2026-05-24T16:41:48.531,50.0
2026-05-24T16:41:48.634,50.0
2026-05-24T16:41:48.738,50.0
2026-05-24T16:41:48.841,50.0
2026-05-24T16:41:48.946,50.0
2026-05-24T16:41:49.049,50.0
2026-05-24T16:41:49.153,50.0
2026-05-24T16:41:49.256,50.0
2026-05-24T16:41:49.360,50.0
2026-05-24T16:41:49.481,50.0
2026-05-24T16:41:49.585,50.0
2026-05-24T16:41:49.688,50.0
2026-05-24T16:41:49.792,50.0
2026-05-24T16:41:49.896,50.0
2026-05-24T16:41:49.999,50.0
2026-05-24T16:41:50.103,50.0
2026-05-24T16:41:50.206,50.0
2026-05-24T16:41:50.310,50.0
2026-05-24T16:41:50.414,50.0
2026-05-24T16:41:50.518,50.0
2026-05-24T16:41:50.622,50.0
2026-05-24T16:41:50.725,50.0
2026-05-24T16:41:50.829,50.0
2026-05-24T16:41:50.933,50.0
2026-05-24T16:41:51.052,50.0
2026-05-24T16:41:51.156,50.0
2026-05-24T16:41:51.259,50.0
2026-05-24T16:41:51.363,50.0
2026-05-24T16:41:51.467,50.0
2026-05-24T16:41:51.570,50.0
2026-05-24T16:41:51.674,50.0
2026-05-24T16:41:51.777,50.0
2026-05-24T16:41:51.881,50.0
2026-05-24T16:41:51.984,50.0
2026-05-24T16:41:52.088,50.0
2026-05-24T16:41:52.191,50.0
2026-05-24T16:41:52.295,50.0
2026-05-24T16:41:52.398,50.0
2026-05-24T16:41:52.502,50.0
2026-05-24T16:41:52.624,50.0
2026-05-24T16:41:52.728,50.0
2026-05-24T16:41:52.831,50.0
2026-05-24T16:41:52.935,50.0
2026-05-24T16:41:53.039,50.0
2026-05-24T16:41:53.143,50.0
2026-05-24T16:41:53.246,50.0
2026-05-24T16:41:53.349,50.0
2026-05-24T16:41:53.453,50.0
2026-05-24T16:41:53.556,50.0
2026-05-24T16:41:53.660,50.0
2026-05-24T16:41:53.763,50.0
2026-05-24T16:41:53.867,50.0
2026-05-24T16:41:53.970,50.0
2026-05-24T16:41:54.074,50.0
2026-05-24T16:41:54.196,50.0
2026-05-24T16:41:54.299,50.0
2026-05-24T16:41:54.402,50.0
2026-05-24T16:41:54.506,50.0
2026-05-24T16:41:54.610,50.0
2026-05-24T16:41:54.713,50.0
2026-05-24T16:41:54.817,50.0
2026-05-24T16:41:54.920,50.0
2026-05-24T16:41:55.024,50.0
2026-05-24T16:41:55.127,50.0
2026-05-24T16:41:55.231,50.0
2026-05-24T16:41:55.335,50.0
2026-05-24T16:41:55.438,50.0
2026-05-24T16:41:55.542,50.0
2026-05-24T16:41:55.645,50.0
2026-05-24T16:41:55.766,50.0
